Gene ID,Niche,Effect Size Posterior Median (95% CI) ,Odds Ratio Posterior Median (95% CI)Ê,Probability Posterior Median (95% CI)Ê
CP034325.1_175,laboratory,"-0.451439 [-4.51096,Ê 1.07113]","0.636711 [0.0109879,Ê 2.91866]","0.0252273 [0.00045303,Ê 0.108034]"
CP034325.1_174,laboratory,"-0.456133 [-4.56719,Ê 1.07905]","0.633729 [0.0103871,Ê 2.94188]","0.0224833 [0.00037092,Ê 0.0977783]"
AM261282.1_29,laboratory,"-0.475244 [-4.92218,Ê 1.10852]","0.621734 [0.00728325,Ê 3.02986]","0.0176402 [0.0002054,Ê 0.0811605]"
NZ_MZ513634.1_46,plant,"-0.481338 [-5.36423,Ê 1.15598]","0.617956 [0.00468108,Ê 3.17715]","0.0258701 [0.0002022,Ê 0.121159]"
AP019386.1_109,plant,"-0.491965 [-6.38887,Ê 1.50594]","0.611424 [0.00168015,Ê 4.50841]","0.014278 [3.99e-05,Ê 0.0991822]"
AP026508.1_104,laboratory,"-0.493691 [-5.3921,Ê 1.20119]","0.610369 [0.00455242,Ê 3.32408]","0.011751 [8.79e-05,Ê 0.0620623]"
NZ_CP115377.1_59,plant,"-0.494818 [-5.39779,Ê 1.2125]","0.609682 [0.0045266,Ê 3.36187]","0.024109 [0.00017925,Ê 0.119548]"
AP019386.1_110,plant,"-0.500952 [-6.12201,Ê 1.38866]","0.605953 [0.00219405,Ê 4.00949]","0.00851143 [3.02e-05,Ê 0.0551672]"
AP027468.1_321,laboratory,"-0.501113 [-5.67441,Ê 1.30585]","0.605856 [0.00343268,Ê 3.69081]","0.00829023 [4.73e-05,Ê 0.0499285]"
NZ_CP142966.1_27,laboratory,"-0.502485 [-5.18324,Ê 1.1343]","0.605026 [0.00560979,Ê 3.10899]","0.0137525 [0.00012666,Ê 0.0683235]"
NZ_KP056256.1_146,laboratory,"-0.505081 [-5.95059,Ê 1.38408]","0.603457 [0.00260431,Ê 3.99116]","0.00752829 [3.21e-05,Ê 0.0490181]"
NZ_CP146544.1_32,food,"-0.510346 [-1.54492,Ê 0.18347]","0.600288 [0.213329,Ê 1.20138]","0.0151988 [0.00558915,Ê 0.0306328]"
AP019386.1_110,wastewater,"-0.511362 [-1.38156,Ê 0.257822]","0.599679 [0.251186,Ê 1.29411]","0.00850403 [0.00357047,Ê 0.0179446]"
NZ_CP053772.1_89,plant,"-0.511807 [-5.68735,Ê 1.18633]","0.599411 [0.00338855,Ê 3.27504]","0.0251362 [0.00014728,Ê 0.125527]"
AP018569.2_107,wastewater,"-0.512854 [-1.13237,Ê 0.0227475]","0.598785 [0.322268,Ê 1.02301]","0.031266 [0.0174382,Ê 0.0515951]"
AP019386.1_110,environmental,"-0.51421 [-1.4385,Ê 0.159907]","0.597973 [0.237285,Ê 1.1734]","0.00841285 [0.00339286,Ê 0.0162927]"
AP019386.1_109,laboratory,"-0.515619 [-5.69256,Ê 1.41116]","0.597131 [0.00337094,Ê 4.10072]","0.014032 [8.19e-05,Ê 0.0919432]"
NZ_MN732922.1_254,laboratory,"-0.527185 [-5.69905,Ê 1.23399]","0.590264 [0.00334914,Ê 3.43491]","0.00855721 [4.88e-05,Ê 0.0491332]"
AP019386.1_110,laboratory,"-0.528274 [-5.82235,Ê 1.27552]","0.589622 [0.00296065,Ê 3.58055]","0.00826613 [4.27e-05,Ê 0.0501648]"
NZ_MZ513634.1_46,livestock,"-0.531143 [-1.12884,Ê -0.0065122]","0.587933 [0.323408,Ê 0.993509]","0.0247558 [0.0142776,Ê 0.0393353]"
NZ_CP146544.1_32,laboratory,"-0.532611 [-5.72121,Ê 1.30888]","0.58707 [0.00327573,Ê 3.70204]","0.0149436 [8.44e-05,Ê 0.089955]"
AP018569.2_107,plant,"-0.534478 [-5.48355,Ê 1.06599]","0.585975 [0.00415456,Ê 2.90373]","0.0304566 [0.00022134,Ê 0.137667]"
AP018569.2_107,food,"-0.593529 [-1.47731, 0.0420343]","0.552375 [0.22825,Ê 1.04293]","0.0289418 [0.0121882,Ê 0.0531817]"
AP018569.2_107,environmental,"-0.605432 [-1.2423,Ê -0.0940914]","0.545839 [0.288718,Ê 0.9102]","0.0286138 [0.0157012,Ê 0.0459489]"
NZ_CP146544.1_32,wildlife,"-0.635559 [-1.6654,Ê 0.0248638]","0.529639 [0.189116,Ê 1.02518]","0.0135094 [0.00496356,Ê 0.0256829]"
AP019386.1_109,wildlife,"-0.648021 [-1.59501,Ê 0.0197096]","0.52308 [0.202906,Ê 1.01991]","0.0123118 [0.00498269,Ê 0.0237634]"
NZ_CP053772.1_89,environmental,"-0.651315 [-1.35692,Ê -0.0972284]","0.52136 [0.257452,Ê 0.907349]","0.021881 [0.0112155,Ê 0.036611]"
NZ_CP053772.1_89,food,"-0.698369 [-1.7811,Ê 0.0171672]","0.497396 [0.168453,Ê 1.01732]","0.0208985 [0.00729345,Ê 0.0417286]"
NZ_CP115377.1_59,livestock,"-0.735281 [-1.42274,Ê -0.139871]","0.479371 [0.241053,Ê 0.869471]","0.0191353 [0.0100361,Ê 0.0322073]"
