"","gene_id_all","niche","effect_median","effect_lower","effect_upper","OR_median","OR_lower","OR_upper","prob_median","prob_lower","prob_upper"
"50","AP027468.1_321","nicheenvironmental",0.109267692,-0.55412555905,0.7399957265,1.11546091034187,0.574574473077092,2.09592655754357,0.0153714648510591,0.00782946502814006,0.0278209815059618
"51","NZ_CP115377.1_59","nicheBacteria",0.099960795,-0.6267471034,1.07337238235,1.10512759071469,0.534327090586546,2.92522789019461,0.0433106397216425,0.0206738525853905,0.105631944630719
"52","CP057748.1_80","nichewastewater",0.09632511,-0.319817840525,0.47626157375,1.10111698997683,0.726281324102135,1.61004410621167,0.0938439823535315,0.0633985905207732,0.133012604771374
"53","AP027468.1_321","nicheBacteria",0.0915619955,-0.74568467125,1.25591776925,1.09588471452918,0.474409374407045,3.51105927212607,0.0152662415395949,0.00619388369855169,0.0455944097994388
"54","CP057748.1_80","nichefood",0.075567329,-0.36429651105,0.50792315475,1.07849583932906,0.694685182539915,1.66183623211819,0.0923360232498287,0.0601467059639677,0.138374034994189
"55","AP019386.1_110","nichedomesticatedanimal",0.0694416165,-0.8668198735,1.037186109425,1.07190947818277,0.420285995744084,2.82126709775343,0.015186801409069,0.0057754545326678,0.0391427911207764
"56","AP027468.1_321","nichedomesticatedanimal",0.063482248,-0.787981016425,1.12296013755,1.06554057024414,0.454762026742678,3.07394003465894,0.0148864634932343,0.00592739515304652,0.0407890526957006
"57","NC_010870.1_119","nicheBacteria",0.03703083,-0.61582461725,0.748833720425,1.03772501341347,0.540195257267778,2.11453244200049,0.106670967928768,0.0570054772362661,0.196618073375468
"58","NZ_CP139811.1_48","nichewastewater",0.0359510105,-0.4108505915,0.48050823624,1.03660506266648,0.663085995059202,1.61689595904407,0.0661888807917362,0.0428063676637974,0.0999038115258152
"59","NZ_MN732922.1_254","nichewastewater",0.0333774,-0.652841039775,0.698455018324999,1.03394067483158,0.520564728995635,2.01064390034562,0.0149791961724469,0.00737161982694686,0.0281832477226235
"60","AM261282.1_29","nicheenvironmental",0.0317432915,-0.488760455225,0.540780698799999,1.03225248330709,0.613386243028553,1.71734707214918,0.0290584603877114,0.0172772794409481,0.0466008541313544
"61","NZ_MN732922.1_254","nicheBacteria",0.029909955,-0.89142076125,1.0432226457,1.03036175086706,0.410072723464018,2.83834928579531,0.0149454834174757,0.00576591307522228,0.0401109145708918
"62","NZ_CP049291.1_137","nichelaboratory",0.0278774529,-1.7393919835,1.81855752175,1.02826966531965,0.175627152367721,6.16296218004662,0.0827949544170022,0.0150467705526534,0.352184044880216
"63","NC_010870.1_119","nichelaboratory",0.0250918999999999,-1.749395476725,1.7293482675,1.02540935152305,0.173879026010611,5.63697890865129,0.105091744443831,0.019526957435623,0.393626321783614
"64","NZ_OP290545.1_1","nichefood",0.02090202,-0.441665792825,0.492463597125,1.02112199736789,0.642964482977554,1.63634254724257,0.070909957198608,0.0450275373498602,0.111061523654121
"65","CP057748.1_80","nicheplant",0.017400901665,-1.853956988,1.822473875,1.01755318193817,0.156616210602656,6.18714576533705,0.0871339302732928,0.0143187956003091,0.372103326190286
"66","NZ_AP027706.1_49","nicheBacteria",0.015334135,-0.7877575929,0.824554072,1.01545230613565,0.454863642242989,2.28086343860614,0.0353884511517749,0.0156962244950815,0.0759058340148509
"67","NZ_OP290545.1_1","nicheplant",0.0143546565,-1.898206378725,1.88772116,1.01445818042186,0.149837133041472,6.60430137350848,0.0703841316965269,0.0110773319460427,0.333477926463445
"68","NZ_CP139811.1_48","nicheplant",0.0126477407,-1.962243994325,1.958512589575,1.01272806169301,0.140542690840618,7.08877537883772,0.0647075151406549,0.00945165048831202,0.327067006896311
"69","AP026508.1_104","nicheenvironmental",0.00853460505,-0.611678706875,0.578255577974999,1.00857112862316,0.542439507403971,1.78292554664208,0.0193481682550733,0.010368358877595,0.0331759626987792
"70","CP034325.1_174","nichefood",0.0075863095,-0.560417687125,0.5492474015,1.00761515855909,0.570970528373369,1.73194906523976,0.0354291540932525,0.0199467292957364,0.0598403190998596
"71","AM261282.1_29","nichefood",0.001174271,-0.59427128745,0.578840742175,1.00117496096369,0.551964642917006,1.78396915212555,0.0282440462055149,0.0153373816772595,0.0491687618255635
"72","AP026508.1_104","nicheBacteria",0.00112965915,-0.91690321875,0.926717415374999,1.001130297597,0.399755083787677,2.52620308019771,0.019229569496976,0.00739727802662999,0.0469483327902194
"73","AP026508.1_104","nichewastewater",-0.0037968395,-0.67575275625,0.59515057,0.996210362053864,0.508773294378337,1.81330395442805,0.0190775184374371,0.00963503706359592,0.0343343177218563
"74","NZ_CP139811.1_48","nichewildlife",-0.004566475,-0.442498244875,0.3903784095,0.995443935847079,0.642429468653406,1.47753980327344,0.0635652016198795,0.0416198025358272,0.0922252908885484
