effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
"-0.0605589 [-1.41037,  0.750876]","0.941238 [0.244053,  2.11886]","0.0218847 [0.00577219,  0.0491531]"
"-0.0652797 [-0.572882,  0.408167]","0.936805 [0.563898,  1.50406]","0.0368408 [0.0235899,  0.0543154]"
"-0.0704913 [-0.557829,  0.356029]","0.931936 [0.572451,  1.42765]","0.0842547 [0.0540023,  0.122491]"
"-0.0719313 [-0.995698,  0.590766]","0.930595 [0.369466,  1.80537]","0.0596492 [0.0247403,  0.109499]"
"-0.0720397 [-0.921423,  0.554222]","0.930494 [0.397952,  1.74059]","0.0803884 [0.0363712,  0.140545]"
"-0.0728959 [-0.715198,  0.479147]","0.929698 [0.489095,  1.6147]","0.0178351 [0.00950936,  0.0300219]"
"-0.0768359 [-1.35265,  0.797558]","0.926042 [0.258555,  2.22011]","0.0129847 [0.00364696,  0.0311126]"
"-0.0780476 [-0.613863,  0.424992]","0.92492 [0.541256,  1.52958]","0.0364184 [0.0218834,  0.0575159]"
"-0.0805131 [-0.510946,  0.305345]","0.922643 [0.599928,  1.35709]","0.0835422 [0.0569543,  0.115886]"
"-0.0885468 [-0.843186,  0.479618]","0.91526 [0.430337,  1.61546]","0.0826368 [0.0407118,  0.137439]"
"-0.0919938 [-0.651175,  0.367233]","0.912111 [0.521433,  1.44373]","0.058452 [0.0347093,  0.0893854]"
"-0.0933627 [-0.827021,  0.456074]","0.910863 [0.43735,  1.57787]","0.0946507 [0.0477736,  0.154097]"
"-0.0950837 [-0.746842,  0.562409]","0.909297 [0.473861,  1.7549]","0.0128545 [0.00659162,  0.023902]"
"-0.0957206 [-1.11224,  0.557893]","0.908718 [0.328821,  1.74699]","0.0254147 [0.00924604,  0.049206]"
"-0.0998424 [-1.23949,  0.643875]","0.90498 [0.289531,  1.90384]","0.0372885 [0.012491,  0.0766625]"
"-0.100007 [-1.47431,  0.667989]","0.904831 [0.228937,  1.95031]","0.022676 [0.00592254,  0.0487529]"
"-0.104492 [-1.3046,  0.622469]","0.900782 [0.271281,  1.86352]","0.0201458 [0.00621644,  0.0414643]"
"-0.113472 [-1.09647,  0.532952]","0.892729 [0.334048,  1.70396]","0.0311357 [0.0117384,  0.0589101]"
"-0.118201 [-0.746319,  0.433997]","0.888518 [0.474109,  1.54341]","0.0200642 [0.0110126,  0.0333317]"
"-0.141478 [-0.821793,  0.442866]","0.868074 [0.439643,  1.55716]","0.0195953 [0.0101356,  0.0340091]"
"-0.141544 [-1.01878,  0.413964]","0.868017 [0.361037,  1.5128]","0.0706207 [0.0304987,  0.117749]"
"-0.147829 [-1.13197,  0.439101]","0.862578 [0.322398,  1.55131]","0.0413764 [0.0158787,  0.0729937]"
"-0.148439 [-1.19958,  0.457145]","0.862053 [0.301322,  1.57956]","0.0601961 [0.0221755,  0.106802]"
"-0.151493 [-1.45721,  0.586288]","0.859424 [0.232886,  1.7973]","0.012294 [0.00331858,  0.026464]"
"-0.152063 [-0.635896,  0.273565]","0.858934 [0.529461,  1.31464]","0.0601923 [0.0387484,  0.0880121]"
"-0.153488 [-1.39121,  0.488055]","0.857711 [0.248774,  1.62914]","0.0300349 [0.00904471,  0.0568681]"
"-0.155554 [-1.38821,  0.475459]","0.855941 [0.249522,  1.60875]","0.0334907 [0.0101859,  0.0626478]"
"-0.155682 [-1.24373,  0.444365]","0.855832 [0.288308,  1.5595]","0.0299542 [0.0102869,  0.0550271]"
"-0.165871 [-0.746184,  0.343971]","0.847155 [0.474173,  1.41054]","0.0299157 [0.0172702,  0.0481758]"
"-0.168206 [-1.24367,  0.41571]","0.84518 [0.288323,  1.51545]","0.0329926 [0.0115549,  0.059808]"
"-0.174437 [-0.839191,  0.348232]","0.839929 [0.43206,  1.41656]","0.0189095 [0.00989448,  0.0313959]"
"-0.178931 [-1.27582,  0.4074]","0.836164 [0.279203,  1.5029]","0.075814 [0.0273649,  0.130497]"
"-0.18123 [-1.80336,  0.592524]","0.834244 [0.164745,  1.80855]","0.020851 [0.00422703,  0.0459051]"
"-0.184526 [-0.646228,  0.198525]","0.831498 [0.524019,  1.2196]","0.0583825 [0.0384594,  0.0823871]"
"-0.185669 [-0.828717,  0.291317]","0.830548 [0.436609,  1.33819]","0.0233961 [0.0126081,  0.036907]"
"-0.188174 [-0.70661,  0.256675]","0.828471 [0.493314,  1.29263]","0.0426888 [0.0264624,  0.0642932]"
"-0.18913 [-1.52676,  0.494864]","0.827679 [0.217238,  1.64028]","0.0157428 [0.00406375,  0.032278]"
"-0.193642 [-1.53007,  0.454945]","0.823953 [0.216521,  1.57609]","0.0183906 [0.00492863,  0.0362438]"
